id|type|name|legend|is_other_wargear|faction_id|description|
000000002|Abilities|’Ere We Go|Even lumbering Orks can put on a surprising turn of speed when the promise of a good face-to-face fight is in the offing.|false|ORK|You can re-roll charge rolls made for units with this ability.|
000000003|Abilities|Mob Rule|The more Orks in one place, the more the Waaagh! energy flows, and the more fearless they all become.|false|ORK|While this unit is within 6"" of a friendly <CLAN> MOB unit that is not under half strength, this unit is never considered to be under half strength.|
000000006||Breakin’ Heads||false|ORK|If a <CLAN> unit fails a Morale test while it is within 3"" of a friendly <CLAN> WARBOSS, the Warboss can restore order with a brutal display of violence. If they do so, the unit suffers D3 mortal wounds but the Morale test is then considered to have been passed.|
000000007||Waaagh! Energy||false|ORK|While there are 20 or more ORKS models (excluding GRETCHIN) within 12"" of this model, this model can attempt to manifest one additional psychic power in your Psychic phase.|
000000009||Big Mekaniak||false|ORK|At the end of your Movement phase, this model can repair one friendly <CLAN> VEHICLE model within 3"" of it. That VEHICLE model regains up to D3 lost wounds. Each model can only be repaired once per turn.|
000000010||Grot oiler||true|ORK|Once per battle, when the bearer repairs a VEHICLE model, that model can regain 1 additional lost wound.We recommend placing a Grot Oiler model next to the unit as a reminder, removing it once this ability has been used (a Grot Oiler does not count as a model for any rules purposes).|
000000012||Blastajet force field||true|ORK|(Aura) While a friendly ORKS AIRCRAFT model is within 9"" of the bearer, it has a 5+ invulnerable save. The range of this aura ability can never be increased, unless specifically stated otherwise.|
000000014||Prophet of Gork and Mork||false|ORK|This model has a 4+ invulnerable save. In addition, this model can only lose a maximum of 4 wounds in each phase.|
000000016||Ammo runt||true|ORK|Once per battle, when the bearer makes a ranged attack, you can re-roll the hit roll.We recommend placing an Ammo Runt model next to the unit as a reminder, removing it once this ability has been used (an Ammo Runt does not count as a model for any rules purposes).|
000000017||Flashiest Gitz (Aura)||false|ORK|While a friendly FLASH GITZ unit within 6"" of this model, each time a model in that unit makes an attack, re-roll a hit roll of 1.|
000000018||Goldtoof Armour||false|ORK|This model has a 4+ invulnerable save.|
000000019||Full Throttle||false|ORK|Each time this model Advances, do not make an Advance roll. Instead, until the end of the phase, add 6"" to the Move characteristic of this model and roll one D6: on a 1, this model suffers 1 mortal wound.|
000000021||Drill Boss (Aura)||false|ORK|While a friendly GOFF STORMBOYZ unit is within 6"" of this model, each time a Morale test is failed for that unit, until the end of the phase, halve the number of models that flee that unit due to failed Combat Attrition tests (rounding fractions down).|
000000022||Sneakiest Git||false|ORK|Each time an attack is allocated to this model while it is receiving the benefits of cover, add an additional 2 to any armour saving throw made against that attack.|
000000023||Kunnin’ Infiltrator||false|ORK|During deployment, when you set up this model, it can be set up anywhere on the battlefield that is more than 9"" away from the enemy deployment zone and any enemy models.|
000000024||Red Skull Kommandos (Aura)||false|ORK|While a friendly BLOOD AXES KOMMANDOS unit is within 6"" of this model, each time a model in that unit makes a melee attack, add 1 to that attack’s hit roll.|
000000025||Terrifying Killer (Aura)||false|ORK|While an enemy unit is within 6"" of this model, subtract 2 from the Leadership characteristic of models in that unit.|
000000026||Mekaniak||false|ORK|At the end of your Movement phase, this model can repair a single friendly <CLAN> VEHICLE model within 1"". That model regains 1 lost wound. A model can only be repaired once per turn.|
000000027||Grot Orderly||true|ORK|Once per battle, if a 1 is rolled when using the bearer’s Sawbonez ability you can re-roll the dice.We recommend placing a Grot Orderly model next to the unit as a reminder, removing it once this ability has been used (a Grot Orderly does not count as a model for any rules purposes).|
000000028||Dok’s Tools (Aura)||false|ORK|While a friendly <CLAN> INFANTRY, <CLAN> BIKER or <CLAN> CAVALRY unit is within 3"" of this model, each time a model in that unit would lose a wound, roll one D6: on a 6, that wound is not lost.|
000000030||Dok’s Toolz (Aura)||false|ORK|While a friendly ORKS INFANTRY or ORKS BIKER unit is within 3"" of this model, each time a model in that unit would lose a wound, roll one D6: on a 6, that wound is not lost.|
000000031||Cybork Body||false|ORK|Each time this model would lose a wound, roll one D6: on a 5+, that wound is not lost.|
000000032||One Scalpel Short of a Medpack||false|ORK|This model is eligible to charge even if it Advanced or Fell Back in the same turn. At the start of the Charge phase, if this model is eligible to charge you must declare a charge and you must select the closest enemy unit as one of the targets of that charge.|
000000035||Squig hound||true|ORK|The bearer gains the following ability: ‘Squig Hound (Aura): While a friendly GRETCHIN INFANTRY unit is within 3"" of the bearer, models in that unit ignore modifiers to Combat Attrition tests.’|
000000036||Grot-lash||true|ORK|The bearer gains the following ability: ‘Grot Lash (Aura): While a friendly GRETCHIN INFANTRY unit is within 3"" of any models equipped with a grot-lash, add 1"" to the Move characteristic of models in that unit.’|
000000037||Mekaniak||false|ORK|At the end of your Movement phase, a Spanner can repair a single friendly <CLAN> VEHICLE model within 1"". That model regains 1 lost wound. A model can only be repaired once per turn.|
000000038||Pyromaniaks||false|ORK|If this unit destroys an enemy unit in the Shooting phase, it automatically passes Morale tests until the start of your next turn.|
000000039||Tank Hunters||false|ORK|Each time a model with this ability makes an attack that targets a VEHICLE unit, add 1 to that attack’s hit roll.|
000000040||Bomb squig||true|ORK|Once per turn, when a unit with a bomb squig is selected to shoot or fire Overwatch, if it has any bomb squigs remaining, the unit can release one. When it does so, you can select one enemy unit (excluding AIRCRAFT) that is within 12"" of the unit with a bomb squig (when firing Overwatch this must be the charging unit) and roll one D6, adding 1 to the result if that enemy unit is a VEHICLE: on a 3+, that enemy unit suffers D3 mortal wounds. The number of bomb squigs the unit is equipped with is then reduced by 1.We recommend placing a Bomb Squig model next to the unit for each bomb squig it is equipped with as a reminder, removing one each time this ability is used (a Bomb Squig does not count as a model for any rules purposes).|
000000043||Ammo runt||true|ORK|Once per battle, when the bearer makes a ranged attack, you can re-roll the hit roll.We recommend placing an Ammo Runt model next to the unit as a reminder, removing it once this ability has been used (an Ammo Runt does not count as a model for any rules purposes).|
000000044||Waaagh! Banner||false|ORK|While a friendly <CLAN> ORKS unit is within 6"" of this model, each time a model in that unit makes a melee attack, add 1 to that attack’s hit roll.|
000000046||Sneaky Gitz||false|ORK|Each time an attack is allocated to a model in this unit while it is receiving the benefits of cover, add an additional 2 to any armour saving throw made against that attack.|
000000047||Kunnin’ Infiltrators||false|ORK|During deployment, when you set up this unit it can be set up anywhere on the battlefield that is more than 9"" away from the enemy deployment zone and any enemy models.|
000000048|Abilities|Ramshackle|Ork vehicles are often covered in additional metal plates, intimidating glyphs, errant grots, snacksquig pens and other non-essential parts. Significant portions of these makeshift constructions can be blasted off or destroyed without impairing the vehicle in the slightest.|false|ORK|Each time an attack is allocated to this model, unless that attack has a Strength characteristic of 8 or more, subtract 1 from the Damage characteristic of that attack (to a minimum of 1).|
000000050||Explodes||false|ORK|When this transport is destroyed, roll one D6 before any embarked models disembark and before removing it from play. On a 6, it explodes, and each unit within 6"" suffers D6 mortal wounds.|
000000051||Full Throttle||false|ORK|Each time this unit Advances, do not make an Advance roll. Instead, until the end of the phase, add 6"" to the Move characteristic of model’s in this unit and roll one D6: on a 4+, this unit suffers 1 mortal wound.|
000000052||Turbo-boost||false|ORK|When this unit Advances, add 6"" to its Move characteristic for that Movement phase instead of rolling a dice.|
000000053||Scoutin’ Ahead||false|ORK|During deployment, you can set up this unit behind enemy lines instead of placing it on the battlefield. At the end of any of your Movement phases, they can swoop around to ambush the foe – set them up anywhere on the battlefield that is more than 9"" away from any enemy models and within 14"" of a battlefield edge.|
000000054||Bigbomm||false|ORK|Once per battle, at the end of your Movement phase, this model can drop its bigbomm on one enemy unit it moved over in that phase. To a maximum of five D6, roll one D6 for each model in that unit. For each roll of 5+ that unit suffers 1 mortal wound.|
000000055||Airborne||false|AE|You cannot declare a charge with this model, and it can only be chosen as a target of a charge if the unit making the charge can FLY. You can only fight with this model if it is within Engagement Range of any enemy units that can FLY, and this model can only make melee attacks against units that can FLY. Enemy units can only make melee attacks against this model if they can FLY.|
000000055||Airborne||false|ORK|You cannot declare a charge with this model, and it can only be chosen as a target of a charge if the unit making the charge can FLY. You can only fight with this model if it is within Engagement Range of any enemy units that can FLY, and this model can only make melee attacks against units that can FLY. Enemy units can only make melee attacks against this model if they can FLY.|
000000056||Hard to Hit||false|ORK|Each time a ranged attack is made against this model, subtract 1 from that attack’s hit roll.|
000000056||Hard to Hit||false|AE|Each time a ranged attack is made against this model, subtract 1 from that attack’s hit roll.|
000000057||Supersonic||false|ORK|Each time this model makes a Normal Move, Advances or Falls Back, first pivot it on the spot up to 90° (this does not contribute to how far the model moves), then move the model straight forwards. It cannot pivot again after the initial pivot.|
000000060||Burna bombs||true|ORK|Once per turn, if the bearer has any burna bombs remaining, it can drop one of them. In your Movement phase, after the bearer makes a Normal Move or Advances, you can select one point on the battlefield the bearer moved across this phase. Roll one D6 for each model within 6"" of that point, subtracting 1 if that model is a CHARACTER (excluding VEHICLE or MONSTER models): on a 5+, that model’s unit suffers 1 mortal wound. Each burna bomb can only be dropped once per battle.|
000000062||Grot Gunner||false|ORK|Each time this model makes an attack with a twin big shoota, add 1 to that attack’s hit roll.|
